Region,Animal species,Production system,Commodity,Emission Intensity (kg CO2e per kg protein),Production (kg protein),Total GHG emissions (kg CO2e),Total CO2 emissions (kg CO2e),Total CH4 emissions (kg CO2e),Total N2O emissions (kg CO2e),"Feed, CO2 (kg CO2e)","Feed, CH4 (kg CO2e)","Feed: fertilizer & crop residues, N2O (kg CO2e)","Feed: applied & deposited manure, N2O (kg CO2e)","LUC: soy & palm, CO2 (kg CO2e)","LUC: pasture expansion, CO2 (kg CO2e)","Enteric fermentation, CH4 (kg CO2e)","Manure management, CH4 (kg CO2e)","Manure management, N2O (kg CO2e)","Direct energy, CO2 (kg CO2e)","Indirect energy, CO2 (kg CO2e)","Postfarm, CO2 (kg CO2e)"
Global,Cattle,Aggregated,Aggregated,160.3,29163104088,4.67463E+12,9.4493E+11,2.64873E+12,1.08097E+12,3.53473E+11,,1.74073E+11,7.41986E+11,46879544228,3.87006E+11,2.50928E+12,1.39452E+11,1.64913E+11,42155419009,15856531896,99559320145
Global,Cattle,Aggregated,Milk,86.7,18880885304,1.63752E+12,2.75691E+11,9.67644E+11,3.94183E+11,1.38234E+11,,71662075641,2.54389E+11,14974206675,,8.85635E+11,82009064082,68132782119,29934851371,3252888569,89295440332
Global,Cattle,Aggregated,Meat,295.4,10282218784,3.03711E+12,6.69239E+11,1.68108E+12,6.86789E+11,2.15239E+11,,1.02411E+11,4.87598E+11,31905337553,3.87006E+11,1.62364E+12,57443101251,96780187840,12220567639,12603643326,10263879813
Global,Cattle,Grassland systems,Aggregated,206.3,10338174726,2.13305E+12,5.62806E+11,1.05297E+12,5.17283E+11,1.11398E+11,,52536600648,4.26761E+11,8194329547,3.87006E+11,9.9691E+11,56055516254,37985075110,14173264181,4303271766,37730922654
Global,Cattle,Grassland systems,Milk,95,6940654476,6.59284E+11,92861399862,3.71346E+11,1.95077E+11,44040030066,,21561262084,1.58784E+11,2412100066,,3.36902E+11,34444278350,14731879958,10786045291,999843541,34623380899
Global,Cattle,Grassland systems,Meat,433.8,3397520251,1.47377E+12,4.69945E+11,6.81619E+11,3.22206E+11,67358197077,,30975338565,2.67977E+11,5782229481,3.87006E+11,6.60008E+11,21611237904,23253195152,3387218890,3303428226,3107541755
Global,Cattle,Mixed systems,Aggregated,138.7,17306165403,2.40005E+12,3.5297E+11,1.52235E+12,5.2473E+11,2.23528E+11,,1.10884E+11,2.96911E+11,36610357090,,1.44399E+12,78358668986,1.16936E+11,24819555695,9048642222,58963783602
Global,Cattle,Mixed systems,Milk,81.9,11940230829,9.78235E+11,1.8283E+11,5.96298E+11,1.99106E+11,94193989252,,50100813557,95604702158,12562106610,,5.48733E+11,47564785732,53400902161,19148806080,2253045028,54672059433
Global,Cattle,Mixed systems,Meat,265,5365934574,1.42181E+12,1.7014E+11,9.26049E+11,3.25624E+11,1.29334E+11,,60783048441,2.01306E+11,24048250481,,8.95255E+11,30793883254,63534820415,5670749615,6795597194,4291724169
Global,Cattle,Feedlots,Aggregated,93.2,1518763959,1.41528E+11,29153218433,73415166405,38959555745,18546529913,,10652737372,18314646099,2074857591,,68377186311,5037980093,9992172274,3162599133,2504617907,2864613889
